Target Value,"Knapsack (3, 11, 23)",Total Coins,Execution Time (µs),Combination,Satisfiability
52,"[1, 0, 0]",1,6.198883056640625,[],Unsatisfiable
170,"[1, 0, 0]",1,4.0531158447265625,[],Unsatisfiable
134,"[0, 0, 1]",1,3.814697265625,[],Unsatisfiable
183,"[0, 1, 0]",1,1.9073486328125,[],Unsatisfiable
174,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
78,"[0, 0, 1]",1,1.1920928955078125,[],Unsatisfiable
91,"[1, 0, 0]",1,1.9073486328125,[],Unsatisfiable
107,"[0, 0, 1]",1,0.95367431640625,[],Unsatisfiable
188,"[0, 0, 1]",1,0.95367431640625,[],Unsatisfiable
80,"[0, 0, 1]",1,1.1920928955078125,[],Unsatisfiable
85,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
153,"[0, 0, 1]",1,0.95367431640625,[],Unsatisfiable
48,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
190,"[1, 0, 0]",1,1.1920928955078125,[],Unsatisfiable
104,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
82,"[0, 0, 1]",1,0.7152557373046875,[],Unsatisfiable
84,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
117,"[0, 0, 1]",1,1.1920928955078125,[],Unsatisfiable
161,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
36,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
91,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
189,"[0, 0, 1]",1,1.1920928955078125,[],Unsatisfiable
166,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
136,"[0, 0, 1]",1,0.95367431640625,[],Unsatisfiable
117,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
97,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
24,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
84,"[0, 0, 1]",1,2.1457672119140625,[],Unsatisfiable
21,"[1, 0, 0]",1,0.0,[],Unsatisfiable
148,"[0, 1, 0]",1,0.95367431640625,[],Unsatisfiable
105,"[0, 1, 0]",1,1.1920928955078125,[],Unsatisfiable
43,"[0, 0, 1]",1,1.1920928955078125,[],Unsatisfiable
181,"[0, 1, 0]",1,1.1920928955078125,[],Unsatisfiable
153,"[0, 0, 1]",1,0.95367431640625,[],Unsatisfiable
90,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
146,"[1, 0, 0]",1,1.1920928955078125,[],Unsatisfiable
170,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
59,"[1, 0, 0]",1,0.95367431640625,[],Unsatisfiable
83,"[0, 0, 1]",1,0.0,[],Unsatisfiable
87,"[1, 0, 0]",1,1.1920928955078125,[],Unsatisfiable
51,"[0, 0, 2]",2,2.1457672119140625,[],Unsatisfiable
49,"[1, 0, 1]",2,1.9073486328125,[],Unsatisfiable
148,"[0, 0, 2]",2,2.1457672119140625,[],Unsatisfiable
187,"[2, 0, 0]",2,2.1457672119140625,[],Unsatisfiable
77,"[0, 1, 1]",2,1.9073486328125,[],Unsatisfiable
200,"[1, 0, 1]",2,1.1920928955078125,[],Unsatisfiable
150,"[0, 2, 0]",2,2.1457672119140625,[],Unsatisfiable
117,"[0, 0, 2]",2,1.9073486328125,[],Unsatisfiable
98,"[1, 0, 1]",2,2.1457672119140625,[],Unsatisfiable
33,"[0, 2, 0]",2,0.95367431640625,[],Unsatisfiable
157,"[2, 0, 0]",2,1.9073486328125,[],Unsatisfiable
87,"[1, 0, 1]",2,1.9073486328125,[],Unsatisfiable
191,"[0, 1, 1]",2,1.9073486328125,[],Unsatisfiable
133,"[1, 1, 0]",2,0.95367431640625,[],Unsatisfiable
163,"[2, 0, 0]",2,1.9073486328125,[],Unsatisfiable
72,"[0, 2, 0]",2,1.6689300537109375,[],Unsatisfiable
128,"[0, 1, 1]",2,1.9073486328125,[],Unsatisfiable
174,"[1, 0, 1]",2,1.9073486328125,[],Unsatisfiable
185,"[0, 1, 1]",2,1.6689300537109375,[],Unsatisfiable
182,"[0, 2, 0]",2,0.95367431640625,[],Unsatisfiable
126,"[1, 0, 1]",2,2.1457672119140625,[],Unsatisfiable
31,"[0, 2, 0]",2,2.1457672119140625,[],Unsatisfiable
165,"[2, 0, 0]",2,2.1457672119140625,[],Unsatisfiable
159,"[0, 1, 1]",2,2.1457672119140625,[],Unsatisfiable
121,"[2, 0, 0]",2,2.1457672119140625,[],Unsatisfiable
71,"[0, 2, 0]",2,2.1457672119140625,[],Unsatisfiable
73,"[1, 0, 1]",2,2.1457672119140625,[],Unsatisfiable
114,"[2, 0, 0]",2,1.9073486328125,[],Unsatisfiable
129,"[1, 0, 1]",2,2.1457672119140625,[],Unsatisfiable
159,"[0, 0, 2]",2,1.9073486328125,[],Unsatisfiable
33,"[2, 0, 0]",2,2.1457672119140625,[],Unsatisfiable
35,"[0, 0, 2]",2,2.1457672119140625,[],Unsatisfiable
